Performance Statistics   2020-07-22 09:44:00 - 2020-07-22 09:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
sec$Role.edit#companion                                  0,0           0           0         0,0           1
sec$Role.edit#create                                     2,0           2           2         0,0           1
sec$Role.edit#init                                       0,0           0           0         0,0           1
sec$Role.edit#inject                                     0,0           0           0         0,0           1
sec$Role.edit#load                                     139,0         139         139         0,0           1
sec$Role.edit#uiPermissions                              0,0           0           0         0,0           1
sec$Role.edit#xml                                        0,2           0           1         0,4           5
sec$Role.edit.screensTabFrame#init                       0,0           0           0         0,0           1
sec$Role.edit.screensTabFrame#inject                     0,0           0           0         0,0           1
sec$Role.edit.screensTabFrame#load                       3,0           3           3         0,0           1
sec$Role.edit.screensTabFrame@screenPermissionsDs        10,0          10          10         0,0           1
sec$Role.edit.screensTabFrame@screenPermissionsTreeDs         0,0           0           0         0,0           1
sec$Role.edit.windowActions#init                         0,0           0           0         0,0           1
sec$Role.edit.windowActions#inject                       0,0           0           0         0,0           1
sec$Role.edit.windowActions#load                         0,0           0           0         0,0           1
sysInfoWindow#afterShow                                  0,0           0           0         0,0           2
sysInfoWindow#beforeShow                                 0,0           0           0         0,0           2
sysInfoWindow#companion                                  0,5           0           1         0,5           2
sysInfoWindow#create                                     5,0           4           6         1,0           2
sysInfoWindow#init                                       1,0           1           1         0,0           2
sysInfoWindow#inject                                     0,0           0           0         0,0           2
sysInfoWindow#load                                      13,5          11          16         2,5           2
sysInfoWindow#uiPermissions                              0,0           0           0         0,0           2
sysInfoWindow#xml                                        0,4           0           2         0,8          10

Performance Statistics   2020-07-22 10:00:00 - 2020-07-22 10:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-07-22 10:02:00 - 2020-07-22 10:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
editWindowActions#create                                 5,0           5           5         0,0           1
editWindowActions#xml                                    0,0           0           0         0,0           2
sec$Role.edit#companion                                  1,0           1           1         0,0           1
sec$Role.edit.specificTabFrame#init                     19,0          19          19         0,0           1
sec$Role.edit.specificTabFrame#inject                    0,0           0           0         0,0           1
sec$Role.edit.specificTabFrame#load                      6,0           6           6         0,0           1
sec$Role.edit.specificTabFrame@specificPermissionsDs        16,0          16          16         0,0           1
sec$Role.edit.specificTabFrame@specificPermissionsTreeDs         0,0           0           0         0,0           1
sec$User.edit#afterShow                                  0,0           0           0         0,0           1
sec$User.edit#beforeShow                                 0,0           0           0         0,0           1
sec$User.edit#companion                                  0,0           0           0         0,0           1
sec$User.edit#create                                     3,0           3           3         0,0           1
sec$User.edit#init                                     108,0         108         108         0,0           1
sec$User.edit#inject                                     0,0           0           0         0,0           1
sec$User.edit#load                                     202,0         202         202         0,0           1
sec$User.edit#uiPermissions                              0,0           0           0         0,0           1
sec$User.edit#xml                                        0,4           0           2         0,8           5
sec$User.edit.windowActions#init                         0,0           0           0         0,0           1
sec$User.edit.windowActions#inject                       0,0           0           0         0,0           1
sec$User.edit.windowActions#load                         0,0           0           0         0,0           1
specificTabFrame#create                                 21,0          21          21         0,0           1
specificTabFrame#xml                                     3,0           1           5         2,0           2

Performance Statistics   2020-07-22 10:06:00 - 2020-07-22 10:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
login#afterShow                                          0,0           0           0         0,0           2
login#beforeShow                                         1,5           0           3         1,5           2
login#create                                            91,5           3         180        88,5           2
login#init                                              12,5           0          25        12,5           2
login#inject                                            23,0           0          46        23,0           2
login#load                                             402,5          27         778       375,5           2
login#uiPermissions                                      0,5           0           1         0,5           2
login#xml                                                6,0           0          12         6,0           2

Performance Statistics   2020-07-22 10:08:00 - 2020-07-22 10:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
aboutWindow#xml                                          2,0           2           2         0,0           1
addCondition#xml                                         2,0           2           2         0,0           1
appProperties#xml                                        3,0           3           3         0,0           1
appPropertiesExport#xml                                  2,0           2           2         0,0           1
appPropertyEditor#xml                                    2,0           2           2         0,0           1
attributesLocationFrame#xml                              4,0           4           4         0,0           1
attributesTabFrame#create                               29,0          29          29         0,0           1
attributesTabFrame#xml                                   1,0           0           2         1,0           2
backgroundWorkProgressWindow#xml                         2,0           2           2         0,0           1
backgroundWorkWindow#xml                                 2,0           2           2         0,0           1
bulkEditor#xml                                           3,0           3           3         0,0           1
commonLookup#xml                                         2,0           2           2         0,0           1
creditsFrame#xml                                         3,0           3           3         0,0           1
customConditionEditor#xml                                3,0           3           3         0,0           1
customConditionFrame#xml                                 3,0           3           3         0,0           1
date-interval-editor#xml                                 2,0           2           2         0,0           1
dynamicAttributesConditionEditor#xml                     4,0           4           4         0,0           1
dynamicAttributesConditionFrame#xml                      3,0           3           3         0,0           1
editWindowActions#xml                                    2,0           2           2         0,0           1
entityInspector.browse#xml                               2,0           2           2         0,0           1
entityInspector.edit#xml                                 2,0           2           2         0,0           1
entityLog#xml                                            7,0           7           7         0,0           1
entityRestore#xml                                        2,0           2           2         0,0           1
extendedEditWindowActions#create                         5,0           5           5         0,0           1
extendedEditWindowActions#xml                            0,3           0           1         0,5           3
fileUploadDialog#xml                                     2,0           2           2         0,0           1
filterEditor#xml                                        17,0          17          17         0,0           1
filterSelect#xml                                         2,0           2           2         0,0           1
ftsConditionFrame#xml                                    2,0           2           2         0,0           1
groupConditionFrame#xml                                  2,0           2           2         0,0           1
jmxConsole#xml                                           6,0           6           6         0,0           1
jmxConsoleEditAttribute#xml                              9,0           9           9         0,0           1
jmxConsoleInspectMbean#xml                               4,0           4           4         0,0           1
jmxConsoleOperationResult#xml                            2,0           2           2         0,0           1
layoutAnalyzer#xml                                       1,0           1           1         0,0           1
list-editor-popup#xml                                    3,0           3           3         0,0           1
localizedEnumerationWindow#xml                           3,0           3           3         0,0           1
localizedNameAndDescriptionFrame#xml                     2,0           2           2         0,0           1
localizedNameFrame#xml                                   2,0           2           2         0,0           1
loginWindow#xml                                          2,0           2           2         0,0           1
lookupWindowActions#create                              19,0          19          19         0,0           1
lookupWindowActions#inject                              13,0          13          13         0,0           1
lookupWindowActions#load                                13,0          13          13         0,0           1
lookupWindowActions#xml                                  0,7           0           2         0,9           3
main#afterShow                                        1696,0        1696        1696         0,0           1
main#beforeShow                                          0,0           0           0         0,0           1
main#create                                             18,0          18          18         0,0           1
main#init                                               15,0          15          15         0,0           1
main#inject                                             10,0          10          10         0,0           1
